token,count
技术,199598
听,198484
谢谢,195534
见,194834
一下,194262
学生,193630
不过,193413
提高,192528
发现,192409
两个,187034
问,186346
为什么,186331
为了,185954
而且,185454
如,185212
您,184805
认为,183583
打,182832
组织,182675
同时,182280
可是,182064
长,181990
东西,181856
只有,181801
睡,181063
影响,178022
内,177846
该,174510
方法,172470
只是,172321
方面,172069
北京,171588
关系,171087
由于,170809
文化,170241
以后,169453
起,168688
不同,168547
管理,168467
然后,167068
特别,166035
孩子,165610
各,165152
请,165110
作用,164551
老,164263
希望,164233
作为,163554
这里,162415
一点,162219
一次,162080
哪,160891
活动,160689
美国,159315
学校,159253
结果,157146
死,157121
成为,156362
发生,155661
加油,154573
同,153945
实现,153489
因此,153357
市场,153147
便,152682
啥,151765
大家,151675
好看,151256
公司,150589
具有,148427
三,147631
出现,146649
笑,146259
朋友,144828
的话,144308
应,144269
比较,143516
哈哈哈哈,143189
群众,141470
过去,141220
告诉,139443
人们,138982
学习,138861
全国,138808
目前,138486
治疗,138358
写,138353
思想,138111
系统,137905
一般,137901
二,137696
加强,137292
则,137211
是不是,136791
玩,136516
话,136506
有关,135901
钱,135721
以及,135645
美,135553
别,134212
明天,133862
哪里,132139
继续,131924
领导,131135
过程,131129
许多,130927
建立,130891
最后,130705
政府,130447
得到,129722
穿,129497
无,129024
一切,128807
家,128771
提出,128577
别人,128483
回,128053
其中,127419
最近,127357
国际,127282
服务,127125
拿,126934
天,126855
其实,126666
晚上,126556
虽然,126484
表示,126187
存在,125931
站,125772
其他,125715
地区,125651
先,125633
社会主义,125518
对于,124881
今年,123607
那些,123540
两,123205
提供,122893
认识,122240
准备,121962
记者,121916
增加,121717
早,121004
很多,120554
使用,120050
先生,119944
好像,119811
历史,119263
坚持,119120
根据,119067
形成,118517
一天,117777
有点,117329
完全,117067
之间,116346
解决,115380
精神,115326
开心,115066
图,114936
即,114912
各种,114584
开,114369
正,114017
直接,113567
基础,113325
方式,113224
回家,112855
成,112634
产品,112169
支持,111637
较,111560
同志,111533
分析,110500
脸,110377
城市,110302
所有,110237
事情,110187
看看,110173
采用,109661
制度,109590
均,109444
改革,108825
能力,108776
可爱,108606
革命,108300
有人,108293
当然,108250
参加,108154
正在,108106
作,107727
之后,107658
喝,107523
看见,107442
非常,107280
总,107162
合作,106974
决定,106956
干部,106939
不断,106923
努力,106808
有些,106772
水平,106488
以为,106338
跑,105957
条件,105846
环境,105686
约,105117
手,104419
不错,104143
完,104136
党,103860
注意,103492
眼睛,103347
讲,103252
代表,103239
好好,103150
产生,101477
送,100922
快乐,100916
政治,100250
每,100243
不好,99905
进一步,99478
会议,99396
发,98744
单位,98561
以上,98425
号,98104
住,97871
刚,97578
怕,97415
科学,97310
明显,97232
少,97091
部门,96934
本,96931
全,96882
控制,96794
如何,96738
基本,96595
心,96512
哇,96500
人家,96470
多少,96420
者,96373
几个,96129
设计,96061
不想,95880
幸福,95673
计划,95418
突然,95309
挺,95016
不到,94991
变化,94840
上海,94754
以前,94742
质量,94585
女人,94389
达到,94342
狗,94045
理论,93975
才能,93845
至,93802
或者,93695
倒,93474
了解,93242
肯定,93186
关于,93144
外,93027
真是,92004
按,91968
干,91780
处理,91500
那里,91184
每天,90943
政策,90728
日本,90714
行,90559
占,90547
安全,90443
规定,90232
只要,89985
哈,89832
农村,89384
选择,89256
还要,89255
结构,89201
懂,89193
标准,89056
原来,88913
好吃,88736
老师,88733
农业,88484
利用,88397
包括,88397
项目,88374
连,88246
能够,87848
心里,87838
原因,87570
促进,87465
据,86973
甚至,86788
回去,86462
表现,86400
健康,86337
达,86331
办法,86162
曾,85729
只能,85673
新华社,85589
晚安,85546
换,85514
水,85502
应用,85353
医院,85140
任何,84859
因,84826
创新,84721
感到,84589
中心,84396
开展,84032
农民,84022
不仅,83938
全面,83807
取得,83744
完成,83712
保护,83458
信息,83219
自然,83135
运动,83076
经过,82960
患者,82724
副,82561
说话,82391
声音,82175
它们,82081
细胞,82040
之前,81799
部分,81645
字,81567
积极,80668
记得,80499
投资,80461
功能,80432
既,80000
相信,79876
内容,79445
分,79415
头,79356
受,79052
手机,78628
低,78622
越,78617
重点,78598
哭,78247
容易,78020
工程,77869
当时,77759
瘦,77647
咋,77548
那样,77381
有效,77194
资源,77115
任务,77111
帮,76843
黑,76780
保证,76717
增长,76573
报道,76428
严重,76421
看着,76252
难,76194
拍,76090
人员,76051
实施,75945
越来越,75884
造成,75841
推动,75743
正常,75692
小时,75629
些,75627
目标,75611
仍,75504
去年,75435
岁,75388
一条,75374
哎,75306
睡觉,75191
意义,74991
效果,74864
终于,74795
十分,74675
另,74665
不用,74625
自,74616
一年,73993
衣服,73949
吃饭,73920
第,73716
意思,73705
学,73637
开发,73628
行为,73599
过来,73562
检查,73485
改变,73422
接受,73310
几天,73159
求,73069
传统,73051
经验,73013
出去,72997
不了,72931
机会,72905
时代,72795
坐,72705
法,72538
后来,72520
个人,72477
不敢,72385
厉害,72201
总是,72190
那种,72177
然而,71761
指出,71689
力量,71484
如此,71438
搞,71430
获得,71393
这次,71218
经,71175
真正,70940
分别,70905
热,70875
介绍,70816
放,70780
实际,70777
举行,70711
知识,70633
整个,70630
全部,70563
进入,70551
找到,70358
引起,69922
受到,69838
最大,69832
拉,69729
成功,69728
女,69632
考虑,69482
第一,69475
未,69335
冷,69087
以来,69069
随着,69039
更加,68945
除了,68862
主席,68801
明白,68740
家里,68716
说明,68488
工业,68437
程度,68277
结合,68218
胖,68153
斗争,68078
要是,67836
身体,67835
三个,67807
本来,67628
一句,67608
推进,67456
下来,67423
报告,67267
头发,67229
四,67082
确定,66952
回答,66878
永远,66836
呵呵,66818
哒,66697
期待,66675
父亲,66595
稳定,66590
共同,66542
近,66523
男人,66459
帮助,66424
材料,66286
民族,66239
于是,66172
上班,66108
下次,66108
减少,65937
花,65792
每个,65583
也许,65540
路,65475
此,65124
根本,65052
样子,65051
她们,64928
理解,64902
形式,64678
人类,64430
阿,64352
法律,64210
确实,64198
离开,64190
教师,64113
不行,64083
关注,64048
昨天,64000
一位,63928
难道,63866
张,63784
实行,63671
原则,63618
经营,63600
间,63557
咯,63501
而是,63472
怎样,63453
并且,63399
进,63221
日电,63103
讨论,62979
下午,62941
因素,62915
不少,62876
措施,62793
来说,62696
调查,62649
书,62605
培养,62579
保持,62556
大学,62538
休息,62480
国内,62430
科技,62414
无法,62228
专业,62175
采取,62097
母亲,61810
实践,61799
首先,61699
加,61696
一只,61683
目的,61555
看来,61362
天天,61287
就要,61064
领域,60980
区,60896
你好,60566
梦,60547
忙,60451
生,60420
腿,60395
表,60337
照片,60257
姐姐,60233
很大,60225
次,60055
滴,59875
万,59770
身上,59738
统一,59726
生日快乐,59653
经常,59481
名字,59285
名,59220
工人,59177
之一,59034
变,59007
带来,58983
似乎,58877
车,58825
最好,58714
哟,58685
委员会,58669
临床,58467
建议,58299
一边,58127
好多,58044
亲,57961
型,57948
羡慕,57837
是否,57836
体系,57812
试验,57800
按照,57769
艺术,57749
范围,57743
组,57741
肉,57737
里面,57552
创造,57434
事业,57396
愿意,57390
产业,57300
结婚,57253
困难,57198
往,57159
听到,57149
持续,57105
价值,57086
几乎,57020
没事,57010
元,56961
非,56828
教学,56759
从而,56661
特点,56500
大量,56434
发挥,56417
性,56363
联系,56234
想到,56210
人才,56108
超,56078
共,56035
现象,55969
卖,55948
年轻,55948
和平,55890
青年,55818
变成,55724
男,55617
设备,55608
观察,55597
嘿嘿,55550
说道,55369
左右,55319
机构,55177
故事,55144
抓,55142
结束,55075
综合,55060
反对,54857
仅,54805
数据,54737
坐在,54710
漂亮,54677
状态,54628
下去,54596
苏联,54555
相关,54551
心情,54502
马上,54379
强,54335
方向,54285
一张,54059
资金,53910
毛主席,53520
若,53507
电影,53495
时期,53477
差,53424
每次,53412
机制,53339
网络,53334
超过,53324
且,53271
满足,53134
具体,53088
噢,53011
远,52879
正是,52422
及其,52385
还好,52342
我会,52162
旅游,52154
认真,52148
姑娘,52132
现代,52127
应当,52108
简单,52081
估计,52077
种,51968
调整,51849
未来,51838
一声,51819
对象,51786
处,51743
咱们,51716
不知,51706
意见,51661
重大,51616
更好,51589
第一次,51564
土地,51494
重庆,51463
儿子,51405
有没有,51403
完善,51335
扩大,51317
我家,51271
以下,51235
尤其,51228
反正,51104
自由,51052
嘻嘻,51023
一件,50951
帅,50804
强调,50780
实验,50773
资料,50709
欢迎,50678
成立,50480
意识,50470
增强,50432
降低,50404
伟大,50340
生命,50272
中央,50227
病,50204
清楚,50137
不够,50052
居然,50017
同样,49908
不管,49878
想要,49864
人生,49814
责任,49769
高兴,49648
哥哥,49569
反映,49490
改善,49420
遇到,49340
手术,49339
表达,49220
回到,49196
劳动,49015
这时,49006
别的,48957
良好,48927
似的,48741
监督,48739
到底,48584
弄,48537
信,48439
汽车,48425
行动,48325
集团,48288
画,48187
显示,48017
白,48016
指,47817
特色,47803
作品,47742
加快,47732
妈妈,47711
速度,47596
米,47548
红,47508
道路,47496
另外,47426
门,47398
导致,47375
来自,47367
本报,47339
哥,47298
作出,47276
县,47273
恢复,47267
气,47188
制定,47187
行业,47113
抱,47108
骂,46900
正确,46870
病人,46794
哪个,46790
陪,46710
平均,46709
反应,46543
市,46421
忘,46345
同学,46237
家庭,46217
干嘛,46214
电话,46080
利益,46067
省,46054
不可,46024
实在,45956
现代化,45871
及时,45823
模式,45800
评价,45793
保障,45787
参与,45764
战略,45664
饿,45634
下降,45578
有个,45577
面前,45558
脸上,45527
尽管,45510
句,45498
村,45489
接着,45480
压力,45399
来到,45344
医生,45328
怎么办,45306
表明,45295
办,45279
期间,45212
深入,45156
是因为,45054
阶段,44959
边,44897
重,44809
见到,44670
做好,44666
后面,44662
啊啊啊,44466
唱,44411
指导,44406
唉,44387
怎么样,44320
姐,44310
式,44242
五,44240
亿元,44225
这儿,44194
管,44183
安排,44149
解释,44072
证明,44000
宣传,43825
累,43790
日子,43761
肿瘤,43732
各地,43638
价格,43636
长期,43605
超级,43599
而已,43596
愿,43546
地位,43463
条,43455
电,43369
万元,43353
简直,43350
这位,43350
仍然,43274
需求,43237
放在,43202
比赛,43179
国,43171
关键,43151
总理,43050
刚刚,43040
不再,43019
先进,42991
现实,42953
迅速,42934
优势,42901
做到,42887
维护,42869
语言,42817
在家,42812
胜利,42747
计算,42727
双方,42716
大概,42709
祝,42614
错,42601
联合,42600
丰富,42557
谈,42484
可怜,42346
重视,42342
太太,42332
建筑,42291
一片,42253
职工,42167
差不多,42166
专家,42149
明确,42138
必要,42053
哪儿,42049
空间,41969
算,41947
跳,41943
赞,41910
曾经,41906
多年,41872
想起,41861
所谓,41852
身边,41831
儿,41815
当前,41779
很快,41682
每年,41678
适合,41626
活,41600
亲爱,41548
适应,41527
当地,41506
行政,41351
英国,41327
听说,41252
夫人,41236
重新,41172
慢慢,41168
消息,41127
感情,41118
痛苦,40927
交流,40879
恩,40855
作者,40826
属于,40806
毕业,40756
负责,40737
集中,40732
态度,40700
广大,40590
掉,40570
即使,40557
一块,40498
发表,40493
恭喜,40472
投入,40424
呗,40408
自身,40387
有时,40176
之中,40053
王,40039
早上,39820
靠,39800
执行,39794
规划,39789
量,39752
打算,39676
位置,39652
假,39647
风,39568
巨大,39537
手段,39527
猫,39387
习近平,39375
广泛,39364
组成,39324
宝宝,39255
女儿,39242
显著,39233
为啥,39206
年代,39183
总统,39127
关心,39099
待,39090
辛苦,39074
法国,39061
规范,39057
棒,39029
召开,38989
哼,38988
主任,38936
望,38812
读,38789
马,38789
相对,38780
外面,38725
躺,38713
晚,38704
够,38659
发出,38654
往往,38627
今晚,38615
诊断,38601
药物,38474
天气,38470
类,38450
美丽,38390
改造,38358
全球,38355
赶紧,38337
减肥,38289
体育,38233
机关,38233
体现,38211
差异,38106
上面,38035
相当,37906
战争,37903
考试,37903
来看,37899
变得,37884
虽,37854
至少,37847
各国,37795
广州,37721
合理,37663
事实,37660
男朋友,37612
掌握,37589
第二,37567
世纪,37489
包,37487
亦,37460
规模,37429
面对,37316
一家,37308
太阳,37279
子,37277
转,37223
饭,37172
绝对,37117
小说,37084
文明,37053
优秀,37030
温度,37012
值得,36999
离,36997
拥有,36956
两天,36940
一面,36927
仿佛,36892
深,36839
系,36835
教,36825
象,36818
竟然,36817
培训,36814
各级,36811
房子,36752
突出,36717
敌人,36715
检测,36714
民主,36688
喊,36627
半,36621
独立,36620
那儿,36543
落实,36533
多么,36526
收入,36491
房间,36459
转移,36409
兄弟,36399
大会,36351
飞,36322
业务,36242
声,36226
方便,36222
运用,36165
线,36146
成果,36109
方案,36054
其它,36018
区域,35979
可怕,35959
路上,35951
装,35937
心中,35901
生态,35877
放假,35844
指标,35814
等等,35763
用于,35717
面积,35705
充分,35662
现场,35622
养,35532
品种,35530
提升,35516
心理,35428
年龄,35373
原,35310
文章,35216
光,35165
毕竟,35118
面,35107
中间,35089
制造,35052
复杂,35011
银行,35009
经历,34834
老人,34781
周末,34777
妇女,34774
新闻,34722
统计,34654
四个,34624
成绩,34623
始终,34561
人物,34517
诗,34515
协调,34511
代表团,34458
加入,34437
爱情,34403
为主,34394
缺乏,34385
符合,34333
感受,34329
加工,34317
口,34307
一场,34189
破坏,34182
请问,34175
留,34168
考,34164
化,34158
竟,34144
一项,34141
回复,34135
敢,34102
美好,34077
连续,34076
除,34060
从来,34056
几年,34035
国务院,34020
本身,34002
新年快乐,33964
担心,33947
一会儿,33935
近年来,33929
厂,33910
讨厌,33893
脚,33878
旁边,33853
坚决,33819
表情,33808
上述,33799
最高,33793
进步,33734
猪,33714
承认,33683
显得,33664
挂,33656
短,33613
矛盾,33583
刚才,33542
派,33541
给予,33513
治理,33476
儿童,33463
在于,33463
德,33453
那天,33443
提,33408
不得,33394
周围,33391
处于,33378
动物,33325
早安,33306
害怕,33248
部队,33213
需,33154
访问,33150
粮食,33145
酒,33145
忘记,33107
可惜,33068
死亡,33066
同意,33026
内部,32985
这件,32974
毛,32912
值,32862
那边,32845
戴,32816
前面,32813
如今,32781
数量,32779
猜,32765
某些,32738
药,32723
较大,32722
主体,32712
打开,32675
高度,32667
针对,32665
萌,32543
核心,32538
成都,32537
表面,32524
常,32486
鼓励,32474
颜色,32414
绿色,32395
久,32344
特殊,32335
立即,32331
出口,32324
额,32310
成本,32274
本文,32249
文学,32240
地上,32237
就业,32144
消失,32140
推荐,32112
下面,32097
有利于,32095
你家,32094
某,32021
跟着,32003
照,31959
因而,31954
忽然,31951
正式,31940
主动,31938
再说,31863
小心,31808
生日,31785
早就,31782
逐渐,31774
严格,31770
感谢,31757
朝,31749
父母,31729
不足,31714
附近,31708
开放,31667
不然,31655
留下,31622
紧张,31611
早点,31572
队伍,31544
不如,31520
素质,31517
事件,31497
丢,31426
特征,31410
操作,31380
旧,31303
部长,31290
运行,31277
难以,31245
形象,31192
卡,31170
危险,31168
出门,31150
替,31150
数,31109
越南,31073
追求,31061
杀,31057
种子,31047
人口,31032
消费,31025
不怕,31024
愉快,31012
一眼,30973
两种,30909
取,30892
贡献,30875
书记,30853
国外,30844
率,30821
最终,30812
状况,30805
祝福,30783
呐,30782
飞机,30716
改,30708
此外,30705
德国,30704
观念,30656
一把,30651
香港,30643
周,30599
固定,30582
加大,30572
一部分,30550
充满,30544
逐步,30542
失去,30514
检验,30510
夏天,30484
含量,30481
接,30477
中午,30465
疾病,30455
激动,30452
对方,30432
道理,30415
工厂,30378
女生,30371
探索,30345
分手,30315
训练,30308
普遍,30268
一批,30226
今后,30221
喔,30217
症状,30217
收到,30199
听见,30194
好久,30186
生长,30147
竞争,30146
模型,30109
风险,30103
公开,30102
感染,30102
皮肤,30058
随便,30018
深刻,30007
妈,29991
物质,29988
出发,29970
观点,29931
怪,29911
常常,29909
称,29906
放弃,29898
队,29890
木,29875
抢,29851
一阵,29842
理想,29818
居民,29738
山,29720
职业,29716
啥时候,29704
洗,29697
学院,29662
欧洲,29648
拒绝,29608
相应,29565
专门,29541
普通,29538
呆,29502
丑,29499
秀,29468
诶,29446
比例,29426
转变,29413
无产阶级,29393
血,29295
妻子,29291
走进,29264
咱,29262
一致,29257
心疼,29228
规律,29194
再次,29185
程序,29181
习惯,29166
坏,29163
嘴,29161
用户,29134
两年,29128
团结,29118
有着,29104
产量,29097
定,29048
基地,29019
瞧,28979
分布,28971
照顾,28964
期,28920
抱抱,28915
无论,28872
双,28866
平台,28860
收,28848
丈夫,28818
整体,28817
是从,28771
南京,28763
错误,28761
贸易,28758
确保,28753
西方,28742
药品,28741
第一个,28740
音乐,28739
李,28726
强烈,28716
性能,28707
工艺,28701
享受,28698
基层,28661
防止,28627
明明,28622
教授,28605
冬天,28594
先后,28582
信号,28539
会见,28527
祖国,28524
上去,28523
动,28492
无聊,28481
军队,28462
比如,28460
喂,28437
小姐,28425
文艺,28393
傻,28340
引导,28340
放心,28327
提前,28323
限制,28323
避免,28309
舒服,28306
相,28249
唯一,28218
立刻,28215
老婆,28200
呈,28190
过年,28159
妹子,28128
极,28119
面临,28103
举办,28065
抓住,28053
相互,28034
争取,28032
老板,28011
进去,28007
这边,27994
就算,27986
卫生,27973
妹妹,27968
再也,27928
形势,27904
当年,27864
一步,27832
奇怪,27827
果然,27787
施工,27777
多种,27742
女朋友,27741
血管,27739
疗效,27727
既然,27709
贷款,27702
办公室,27686
度,27666
撒,27654
热情,27648
想法,27641
显然,27626
公路,27595
社区,27587
阳光,27554
课,27529
推广,27482
如下,27477
负责人,27462
歌,27455
一系列,27411
一路,27393
依然,27331
黄,27289
吹,27282
试试,27248
党员,27244
实际上,27240
下雨,27198
报,27161
宿舍,27142
手里,27131
微笑,27124
力,27095
像是,27064
满意,27060
直到,27060
总结,27010
彻底,27004
不让,27002
很少,26958
床上,26956
强化,26910
味道,26888
已有,26883
战斗,26877
交通,26855
金融,26840
的确,26833
大小,26789
有钱,26766
驻,26734
讲话,26728
看过,26727
那时,26723
角度,26714
没什么,26713
武汉,26701
也好,26696
到处,26651
六,26628
座,26626
生气,26619
研究所,26619
加上,26595
委员,26587
选,26587
反,26570
测定,26538
构成,26519
昨晚,26505
自我,26464
动力,26457
南方,26416
真实,26390
改进,26385
审计,26365
互相,26357
杭州,26334
水泥,26329
例如,26324
运输,26318
鬼,26308
麻烦,26248
部,26245
快速,26240
销售,26232
看出,26206
级,26206
多次,26184
难过,26180
权利,26173
理由,26159
没错,26132
不但,26119
创作,26102
成熟,26088
哲学,26069
随,26019
各项,26010
疼,25957
急,25952
出版,25874
件,25861
必然,25851
头像,25836
令人,25835
想象,25835
感动,25801
牛,25771
集体,25766
动作,25765
客气,25765
宣布,25752
翻,25729
空气,25722
优化,25679
睡不着,25626
通知,25625
一个月,25620
剪,25618
商品,25613
火,25598
明年,25573
怀疑,25548
分钟,25525
类型,25514
想想,25489
神,25472
单身,25460
广东,25442
班,25424
东北,25412
数字,25380
大部分,25378
概念,25362
有时候,25354
高校,25336
女子,25331
自动,25296
游戏,25292
作家,25289
基因,25270
文件,25220
病例,25195
卷,25193
俩,25148
一道,25138
更多,25137
却是,25115
读者,25110
相比,25084
平衡,25071
铁路,25062
女神,25048
门口,25033
从事,25023
配合,25023
全省,25022
台,25020
为此,25014
和谐,25011
强大,25001
联合国,24933
不见,24910
乱,24872
思考,24872
军事,24871
学会,24805
菜,24783
总书记,24768
道德,24758
一半,24755
可见,24754
做出,24742
本报记者,24740
友好,24718
朝鲜,24716
挑战,24701
允许,24679
有限公司,24650
软件,24633
停,24630
成员,24600
情绪,24597
穿着,24592
流,24588
上帝,24573
目光,24561
上课,24558
浙江,24552
一生,24547
设置,24542
醒,24538
友谊,24530
直,24527
不好意思,24494
涉及,24493
印度,24466
一套,24451
咬,24396
长大,24394
性质,24368
吸引,24366
作业,24326
呦,24321
建成,24300
鱼,24284
平时,24273
英雄,24257
不吃,24242
词,24241
一方面,24240
记,24185
准确,24090
雪,24030
命运,24022
大型,24004
观众,24002
故,23959
台湾,23947
接触,23940
市场经济,23938
报纸,23917
小学,23908
一份,23900
西安,23870
上升,23851
路线,23842
探讨,23811
追,23806
一段,23787
主人,23784
打电话,23738
读书,23666
进来,23645
机械,23609
晓得,23569
安慰,23563
距离,23558
七,23553
尊重,23539
记录,23512
兴趣,23486
案件,23446
很好,23439
力度,23407
协议,23407
深圳,23393
贵,23391
主题,23377
北方,23376
生物,23376
失败,23366
权力,23348
上次,23341
三年,23338
大哥,23332
顺利,23266
依据,23263
大学生,23252
天津,23246
赢,23228
多个,23223
雨,23206
损伤,23204
皮,23184
学者,23179
男生,23167
适当,23163
破,23131
电脑,23120
第三,23085
女孩,23080
山东,23071
防治,23069
哩,23062
深化,23052
背,23045
出席,23044
一旦,23040
一名,23035
土,23017
更新,23002
关,22964
嗨,22959
杨,22898
少年,22867
西部,22865
身子,22859
恨,22855
典型,22851
非洲,22821
层,22819
熟悉,22806
机场,22803
至于,22790
战士,22784
有力,22753
费用,22752
停止,22717
茶,22707
不久,22702
展开,22688
中国共产党,22676
一座,22672
暖,22670
四川,22668
自觉,22667
论,22646
垃圾,22637
乡,22634
把握,22631
少女,22627
上午,22626
仙女,22619
夸,22616
聪明,22594
思维,22562
亚洲,22549
不得不,22545
便是,22533
难受,22522
效益,22503
吐,22485
这话,22482
等待,22474
位,22463
杂志,22455
解放,22435
问道,22414
贯彻,22397
更是,22363
乡村,22356
改革开放,22322
使得,22309
只好,22289
主张,22283
外国,22279
成就,22257
警察,22253
效率,22249
寻找,22245
各类,22228
合适,22215
对此,22201
否则,22187
借,22172
入,22165
眼前,22146
课程,22145
究竟,22137
感冒,22121
金,22105
决策,22073
睡着,22072
年轻人,22051
篇,22051
相同,22024
一口,22002
工资,21992
安,21987
领导人,21980
走向,21967
浪费,21964
抑制,21957
版,21943
损失,21936
内心,21934
两次,21927
红色,21902
一会,21891
爬,21870
第二天,21858
网,21840
套,21834
看起来,21826
真心,21822
判断,21813
成长,21812
喝酒,21806
之外,21805
打击,21797
初,21791
体制,21772
伤,21746
马克思主义,21734
满,21719
哎呀,21709
全市,21693
吓,21659
灵魂,21656
全世界,21651
演出,21643
至今,21634
工具,21608
再见,21570
一支,21561
污染,21560
好玩,21557
预防,21547
事物,21517
著名,21507
分子,21503
便宜,21486
英语,21474
批评,21443
有所,21430
能量,21422
俺,21419
巩固,21415
痛,21406
加以,21391
早已,21387
几次,21352
宝贝,21351
回忆,21350
随时,21325
新型,21300
本人,21297
承担,21267
帝国主义,21238
节目,21229
爱国,21221
吸收,21216
项,21216
粮,21202
突破,21192
两国,21190
懂得,21164
谈话,21146
网上,21109
爹,21107
想着,21100
结论,21092
硬,21042
回头,21039
本组,21026
单,21020
测量,21012
或许,21006
强度,20975
一遍,20970
设立,20963
大多数,20961
肚子,20955
资本,20945
将来,20934
易烊千玺,20931
有空,20923
计算机,20921
决心,20888
出版社,20888
特,20875
另一方面,20874
女性,20853
传播,20852
大声,20834
多久,20831
见面,20813
资本主义,20808
接近,20783
资产阶级,20777
村民,20773
粗,20754
时刻,20748
此时,20744
走出,20733
倍,20731
等到,20728
大大,20719
邀请,20714
党中央,20709
公里,20697
位于,20694
青春,20690
社员,20684
分为,20664
补,20655
浓度,20654
单纯,20649
智慧,20647
对不起,20643
城,20638
消费者,20631
体验,20630
考察,20626
阿姨,20573
注重,20569
眼,20565
客人,20551
答应,20547
异常,20519
星期,20510
戏,20500
文字,20496
上来,20482
反而,20482
发布,20475
协会,20463
食品,20454
耍,20440
树,20439
老公,20401
本报讯,20398
树立,20341
令,20308
风格,20305
分配,20302
工作人员,20295
免疫,20285
那位,20257
清,20251
起床,20236
各个,20226
趋势,20223
秘密,20216
设施,20210
电视,20200
左,20199
双手,20183
店,20172
年纪,20159
春天,20150
爸爸,20147
媒体,20118
理念,20115
白色,20105
不必,20035
人群,20021
体会,19980
方,19973
西,19959
属,19950
礼物,19928
依法,19926
种植,19896
表白,19890
全体,19878
梦想,19875
神经,19867
品牌,19856
一部,19836
票,19836
局部,19808
巴黎,19807
正好,19749
晒,19737
类似,19734
好不好,19728
蛮,19708
标志,19687
笔者,19679
通常,19671
广告,19657
依靠,19652
易,19643
参数,19640
拍照,19640
对照组,19633
黑暗,19622
闹,19621
前进,19607
实力,19604
抗,19599
玻璃,19563
骗,19543
构建,19541
盖,19535
鸡,19532
反复,19529
早期,19491
现有,19485
调节,19481
耶,19477
美的,19467
重复,19456
贴,19453
苦,19447
活着,19436
司机,19429
胃,19425
医疗,19405
克,19396
论文,19379
印象,19378
森林,19377
甜,19354
切除,19349
供应,19345
辣,19344
不住,19341
什么样,19339
冲,19336
刘,19335
各自,19315
转化,19301
耳朵,19295
干净,19293
白天,19284
八,19273
客观,19249
生产力,19249
其次,19241
走到,19240
兴奋,19224
新疆,19214
图书馆,19195
黑色,19181
区别,19174
头上,19170
试,19150
消除,19140
部位,19138
宗教,19128
波,19124
大人,19109
特性,19104
批准,19100
云,19097
极大,19091
仔细,19083
顶,19079
愿望,19071
肝,19071
合同,19052
船,19039
高于,19038
脑袋,19020
尽量,19016
一辈子,19000
天下,18996
一带,18981
系列,18972
坚定,18966
完整,18949
干什么,18945
局面,18924
科学技术,18920
腰,18915
镇,18901
温暖,18894
电子,18888
一根,18882
十年,18855
首次,18855
空,18854
分离,18852
交给,18851
刺激,18839
呼吸,18836
疯,18830
伤心,18829
罢,18806
直播,18805
体重,18788
剩下,18788
桌子,18768
提醒,18748
后悔,18740
阅读,18739
西藏,18730
共产党,18710
端,18695
嫉妒,18670
锻炼,18664
尴尬,18650
称为,18649
尽,18648
看法,18642
情感,18614
损害,18603
并非,18598
